date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2010-11-08,126.56,104.206,1.0,1.0,-0.00222,-0.00222,1.06984,1.370285
2010-11-09,125.47,104.294,1.0,1.0,0.001785,0.001785,1.07175,1.372731
2010-11-10,125.91,104.366,1.0,1.0,0.000592,0.000592,1.072384,1.373543
2010-11-11,126.13,104.446,1.0,1.0,-0.001619,-0.001619,1.070648,1.37132
2010-11-12,121.04,104.53,1.0,1.0,-0.01433,-0.01433,1.055306,1.351669
2010-11-15,112.17,104.632,1.0,1.0,-0.009067,-0.009067,1.045738,1.339414
2010-11-16,116.95,104.758,1.0,1.0,0.008684,0.008684,1.054819,1.351045
2010-11-17,113.18,104.932,1.0,1.0,-0.006818,-0.006818,1.047627,1.341834
2010-11-18,106.36,105.09,1.0,1.0,0.003381,0.003381,1.051169,1.34637
2010-11-19,105.75,105.24,1.0,1.0,0.002737,0.002737,1.054046,1.350055
2010-11-22,110.84,105.48,1.0,1.0,0.008282,0.008282,1.062775,1.361236
2010-11-23,111.26,105.662,1.0,1.0,-0.005526,-0.005526,1.056903,1.353714
2010-11-24,111.1,105.728,1.0,1.0,-0.003792,-0.003792,1.052895,1.348581
2010-11-25,114.36,105.942,1.0,1.0,0.006381,0.006381,1.059613,1.357186
2010-11-26,118.59,106.23,1.0,1.0,-0.004532,-0.004532,1.054811,1.351035
2010-11-29,114.64,106.308,1.0,1.0,0.006619,0.006619,1.061793,1.359978
2010-11-30,121.06,106.544,1.0,1.0,0.000635,0.000635,1.062467,1.360841
2010-12-01,124.77,107.096,1.0,1.0,0.017633,0.017633,1.081201,1.384837
2010-12-02,138.5,107.312,1.0,1.0,0.007706,0.007706,1.089534,1.395509
2010-12-03,147.07,107.36,1.0,1.0,0.004454,0.004454,1.094386,1.401724
2010-12-06,155.1,107.516,1.0,1.0,0.00907,0.00907,1.104312,1.414438
2010-12-07,154.13,107.66,1.0,1.0,0.000248,0.000248,1.104586,1.414789
2010-12-08,155.67,107.78,1.0,1.0,-6.9e-05,-6.9e-05,1.10451,1.414691
2010-12-09,154.91,107.88,1.0,1.0,0.00575,0.00575,1.110862,1.422826
2010-12-10,152.48,107.97,1.0,1.0,-0.003999,-0.003999,1.106419,1.417136
2010-12-13,156.33,108.144,1.0,1.0,0.002037,0.002037,1.108673,1.420023
2010-12-14,156.98,108.33,1.0,1.0,0.00044,0.00044,1.10916,1.420647
2010-12-15,110.7,108.54,1.0,1.0,0.001863,0.001863,1.111226,1.423293
2010-12-16,109.84,109.018,1.0,1.0,0.002911,0.002911,1.114461,1.427436
2010-12-17,109.63,109.63,0.0,1.0,0.004065,0.004065,1.118991,1.433239
2010-12-20,112.34,109.63,1.0,0.0,-0.005577,-0.0002,1.118767,1.425245
2010-12-21,112.01,109.662,1.0,1.0,0.006736,0.006536,1.12608,1.434846
2010-12-22,111.69,109.758,1.0,1.0,0.003704,0.003704,1.130251,1.440161
2010-12-23,114.43,109.81,1.0,1.0,0.004332,0.004332,1.135147,1.446399
2010-12-24,114.95,109.84,1.0,1.0,-0.004244,-0.004244,1.130329,1.44026
2010-12-27,116.9,110.098,1.0,1.0,0.003522,0.003522,1.13431,1.445333
2010-12-28,116.73,110.356,1.0,1.0,-0.002423,-0.002423,1.131561,1.44183
2010-12-29,117.6,110.614,1.0,1.0,-0.000497,-0.000497,1.130999,1.441114
2010-12-30,119.04,110.756,1.0,1.0,0.004687,0.004687,1.1363,1.447869
2010-12-31,124.55,110.84,1.0,1.0,0.007251,0.007251,1.144539,1.458367
2011-01-03,128.13,110.996,1.0,1.0,0.005885,0.005885,1.151274,1.466949
2011-01-04,126.3,110.996,1.0,1.0,-0.003115,-0.003115,1.147689,1.46238
2011-01-05,117.69,110.996,1.0,1.0,-0.01677,-0.01677,1.128442,1.437856
2011-01-06,114.87,110.996,1.0,1.0,0.004171,0.004171,1.133149,1.443854
2011-01-07,113.53,110.996,1.0,1.0,-0.011312,-0.011312,1.120331,1.427521
2011-01-10,113.55,110.996,1.0,1.0,0.004003,0.004003,1.124816,1.433235
2011-01-11,116.19,110.996,1.0,1.0,0.012869,0.012869,1.139291,1.45168
2011-01-12,119.64,110.996,1.0,1.0,0.003767,0.003767,1.143582,1.457148
2011-01-13,122.77,110.996,1.0,1.0,0.00118,0.00118,1.144932,1.458867
2011-01-14,122.21,110.996,1.0,1.0,-0.000342,-0.000342,1.14454,1.458368
2011-01-17,117.19,110.996,1.0,1.0,-0.005285,-0.005285,1.138491,1.450661
2011-01-18,120.58,110.996,1.0,1.0,0.007049,0.007049,1.146516,1.460886
2011-01-19,103.59,110.784,0.0,1.0,0.010906,0.010906,1.15902,1.476818
