date,strategy,benchmark,exposure,pnl,nav,dtp_gated
2000-09-25,1.009156,1.085337,0.0,0.0,1.009156,0
2000-09-26,1.009156,1.09697,0.0,0.0,1.009156,0
2000-09-27,1.009156,1.09177,0.0,-0.0,1.009156,0
2000-09-28,1.009156,1.067037,0.0,-0.0,1.009156,0
2000-09-29,1.009156,1.045499,0.0,-0.0,1.009156,0
2000-09-30,1.009156,1.005317,0.0,-0.0,1.009156,1
2000-10-02,1.009156,0.979137,0.0,-0.0,1.009156,1
2000-10-03,1.009156,0.998539,0.0,0.0,1.009156,1
2000-10-04,1.009156,0.974886,0.0,-0.0,1.009156,1
2000-10-05,1.009156,0.980044,0.0,0.0,1.009156,1
2000-10-06,1.009156,1.032709,0.0,0.0,1.009156,1
2000-10-07,1.009156,1.032442,0.0,-0.0,1.009156,0
2000-10-09,1.009156,1.009263,0.0,-0.0,1.009156,1
2000-10-11,1.009156,0.981815,0.0,-0.0,1.009156,1
2000-10-12,1.009156,0.943531,0.0,-0.0,1.009156,1
2000-10-13,1.009156,0.955088,0.0,0.0,1.009156,1
2000-10-16,1.009156,0.91524,0.0,-0.0,1.009156,1
2000-10-17,1.009156,0.926847,0.0,0.0,1.009156,1
2000-10-18,1.009156,0.882941,0.0,-0.0,1.009156,1
2000-10-19,1.009156,0.825898,0.0,-0.0,1.009156,1
2000-10-20,1.009156,0.878479,0.0,0.0,1.009156,1
2000-10-21,1.009156,0.910167,0.0,0.0,1.009156,1
2000-10-23,1.009156,0.923367,0.0,0.0,1.009156,1
2000-10-24,1.009156,0.961999,0.0,0.0,1.009156,1
2000-10-25,1.009156,0.97909,0.0,0.0,1.009156,1
2000-10-26,1.009156,0.965773,0.0,-0.0,1.009156,1
2000-10-27,1.009156,0.943557,0.0,-0.0,1.009156,1
2000-10-30,1.009156,0.919812,0.0,-0.0,1.009156,1
2000-10-31,1.009156,0.901137,0.0,-0.0,1.009156,1
2000-11-01,1.009156,0.881769,0.0,-0.0,1.009156,1
2000-11-02,1.009156,0.914448,0.0,0.0,1.009156,0
2000-11-03,1.009156,0.94208,0.0,0.0,1.009156,0
